Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated,plot,cover_url,plot_combined,genre
1,tt2326554,2020-02-05,2020-02-05,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",A Girl Walks Home Alone at Night,https://www.imdb.com/title/tt2326554/,movie,6.9,101.0,2014,"Drama, Horror, Romance, Thriller",36188,2014-01-19,Ana Lily Amirpour,,,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",https://m.media-amazon.com/images/M/MV5BMjMzNjMyMjU2M15BMl5BanBnXkFtZTgwMzA3NjQ0MzE@.jpg,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.
Drama, Horror, Romance, Thriller
Ana Lily Amirpour","Drama, Horror, Romance, Thriller"
2,tt1464580,2020-02-05,2020-02-05,"In a world of vampires, an expert vampire hunter and his young protégé travel toward sanctuary.",Stake Land,https://www.imdb.com/title/tt1464580/,movie,6.4,98.0,2010,"Drama, Horror, Sci-Fi",42970,2010-09-17,Jim Mickle,,,"In a world of vampires, an expert vampire hunter and his young protégé travel toward sanctuary.",https://m.media-amazon.com/images/M/MV5BMTg4NTYwNDc0MF5BMl5BanBnXkFtZTcwNDg1NzM5NA@@.jpg,"In a world of vampires, an expert vampire hunter and his young protégé travel toward sanctuary.
Drama, Horror, Sci-Fi
Jim Mickle","Drama, Horror, Sci-Fi"
3,tt0090163,2020-02-13,2020-02-13,"The effects of a nuclear holocaust on the working class city of Sheffield, England and the eventual long-term effects of nuclear war on civilization.",Threads,https://www.imdb.com/title/tt0090163/,tvMovie,8.0,112.0,1984,"Drama, Sci-Fi, Thriller",16407,1984-09-23,Mick Jackson,,,"The effects of a nuclear holocaust on the working class city of Sheffield, England and the eventual long-term effects of nuclear war on civilization.",https://m.media-amazon.com/images/M/MV5BODBhZjkyNTctNjZjNC00MWIxLWIyZjAtYjBjMjNkNTlmZGEzXkEyXkFqcGdeQXVyMTA1NTM1NDI2.jpg,"The effects of a nuclear holocaust on the working class city of Sheffield, England and the eventual long-term effects of nuclear war on civilization.
Drama, Sci-Fi, Thriller
Mick Jackson","Drama, Sci-Fi, Thriller"
4,tt6269368,2020-02-13,2020-02-13,A picture-perfect family is shattered when the work of a serial killer hits too close to home.,The Clovehitch Killer,https://www.imdb.com/title/tt6269368/,movie,6.5,109.0,2018,"Crime, Drama, Mystery, Thriller",28687,2018-09-22,Duncan Skiles,,,A picture-perfect family is shattered when the work of a serial killer hits too close to home.,https://m.media-amazon.com/images/M/MV5BNDBhYzMzZGQtYTIxOC00YjJhLWExZTEtOTUxN2JlNGQwMGZkXkEyXkFqcGdeQXVyODY3Nzc0OTk@.jpg,"A picture-perfect family is shattered when the work of a serial killer hits too close to home.
Crime, Drama, Mystery, Thriller
Duncan Skiles","Crime, Drama, Mystery, Thriller"
5,tt5774450,2020-02-13,2020-02-13,"After suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous.",Summer of 84,https://www.imdb.com/title/tt5774450/,movie,6.7,105.0,2018,"Drama, Horror, Mystery, Thriller",41945,2018-01-22,"François Simard, Anouk Whissell, Yoann-Karl Whissell",,,"After suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous.",https://m.media-amazon.com/images/M/MV5BMTJhMmQyZDAtZTg3Mi00NzQwLWJkZWEtNzE5MTZhMzIyYTM2XkEyXkFqcGdeQXVyMzQwMTY2Nzk@.jpg,"After suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous.
Drama, Horror, Mystery, Thriller
François Simard, Anouk Whissell, Yoann-Karl Whissell","Drama, Horror, Mystery, Thriller"
6,tt6491178,2020-02-13,2020-02-13,"Once two overzealous cops get suspended from the force, they must delve into the criminal underworld to get their proper compensation.",Dragged Across Concrete,https://www.imdb.com/title/tt6491178/,movie,6.9,158.0,2018,"Action, Thriller",47336,2018-09-03,S. Craig Zahler,,,"Once two overzealous cops get suspended from the force, they must delve into the criminal underworld to get their proper compensation.",https://m.media-amazon.com/images/M/MV5BMjE1MTk5NDQ5Ml5BMl5BanBnXkFtZTgwODUxNzg0NzM@.jpg,"Once two overzealous cops get suspended from the force, they must delve into the criminal underworld to get their proper compensation.
Action, Thriller
S. Craig Zahler","Action, Thriller"
7,tt0498399,2020-02-13,2020-02-13,A New York City nightclub manager tries to save his brother and father from Russian Mafia hitmen.,We Own the Night,https://www.imdb.com/title/tt0498399/,movie,6.8,117.0,2007,"Action, Crime, Drama, Thriller",89857,2007-05-25,James Gray,,,A New York City nightclub manager tries to save his brother and father from Russian Mafia hitmen.,https://m.media-amazon.com/images/M/MV5BMTY0MTQ5OTcyNF5BMl5BanBnXkFtZTcwMDE0NzUzMw@@.jpg,"A New York City nightclub manager tries to save his brother and father from Russian Mafia hitmen.
Action, Crime, Drama, Thriller
James Gray","Action, Crime, Drama, Thriller"
8,tt0189998,2020-02-15,2020-02-15,"The filming of Nosferatu, eine Symphonie des Grauens (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.",Shadow of the Vampire,https://www.imdb.com/title/tt0189998/,movie,6.9,92.0,2000,"Drama, Horror",42476,2000-05-15,E. Elias Merhige,,,"The filming of Nosferatu, eine Symphonie des Grauens (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.",https://m.media-amazon.com/images/M/MV5BMGYxZDEzMDMtMDIzNy00OTQ5LTkzYmItYzdkYTgxMGRkOWVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"The filming of Nosferatu, eine Symphonie des Grauens (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.
Drama, Horror
E. Elias Merhige","Drama, Horror"
9,tt0292963,2020-03-05,2020-03-05,"When two brothers organize the robbery of their parents' jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife barreling towards a shattering climax.",Before the Devil Knows You're Dead,https://www.imdb.com/title/tt0292963/,movie,7.3,117.0,2007,"Crime, Drama, Thriller",105400,2007-09-07,Sidney Lumet,,,"When two brothers organize the robbery of their parents' jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife barreling towards a shattering climax.",https://m.media-amazon.com/images/M/MV5BMTQ1NzM2ODQxNF5BMl5BanBnXkFtZTcwMDczMDU1MQ@@.jpg,"When two brothers organize the robbery of their parents' jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife barreling towards a shattering climax.
Crime, Drama, Thriller
Sidney Lumet","Crime, Drama, Thriller"
10,tt7347846,2020-03-22,2020-03-22,"A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.",The Lodge,https://www.imdb.com/title/tt7347846/,movie,6.0,108.0,2019,"Drama, Horror, Mystery, Thriller",49104,2019-01-25,"Veronika Franz, Severin Fiala",,,"A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.",https://m.media-amazon.com/images/M/MV5BNDQ2YWVmZjEtMTE1ZS00MDk1LTg5ODUtMDVlODk0OTM2ODMwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,"A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.
Drama, Horror, Mystery, Thriller
Veronika Franz, Severin Fiala","Drama, Horror, Mystery, Thriller"
